[2024-03-13 21:22:09]|||{"logger":"c.c.blog.web.CodingBlogApplication", "thread":"restartedMain", "msg":"Starting CodingBlogApplication using Java 1.8.0_101 on DESKTOP-4C76UQ5 with PID 18032 (D:\JavaCount\project\codingblog\coding-blog-service\coding-web\target\classes started by Administrator in D:\JavaCount\project\codingblog\coding-blog-service)"}
[2024-03-13 21:22:09]|||{"logger":"c.c.blog.web.CodingBlogApplication", "thread":"restartedMain", "msg":"No active profile set, falling back to 1 default profile: "default""}
[2024-03-13 21:22:09]|||{"logger":"o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor", "thread":"restartedMain", "msg":"Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable"}
[2024-03-13 21:22:09]|||{"logger":"o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor", "thread":"restartedMain", "msg":"For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'"}
[2024-03-13 21:22:10]|||{"logger":"o.s.d.r.c.RepositoryConfigurationDelegate", "thread":"restartedMain", "msg":"Multiple Spring Data modules found, entering strict repository configuration mode"}
[2024-03-13 21:22:10]|||{"logger":"o.s.d.r.c.RepositoryConfigurationDelegate", "thread":"restartedMain", "msg":"Bootstrapping Spring Data Redis repositories in DEFAULT mode."}
[2024-03-13 21:22:10]|||{"logger":"o.s.d.r.c.RepositoryConfigurationDelegate", "thread":"restartedMain", "msg":"Finished Spring Data repository scanning in 11 ms. Found 0 Redis repository interfaces."}
[2024-03-13 21:22:10]|||{"logger":"o.m.s.mapper.ClassPathMapperScanner", "thread":"restartedMain", "msg":"Skipping MapperFactoryBean with name 'adminRoleRelationMapper' and 'com.coding.blog.service.mapper.AdminRoleRelationMapper' mapperInterface. Bean already defined with the same name!"}
[2024-03-13 21:22:10]|||{"logger":"o.m.s.mapper.ClassPathMapperScanner", "thread":"restartedMain", "msg":"Skipping MapperFactoryBean with name 'commentsMapper' and 'com.coding.blog.service.mapper.CommentsMapper' mapperInterface. Bean already defined with the same name!"}
[2024-03-13 21:22:10]|||{"logger":"o.m.s.mapper.ClassPathMapperScanner", "thread":"restartedMain", "msg":"Skipping MapperFactoryBean with name 'linksMapper' and 'com.coding.blog.service.mapper.LinksMapper' mapperInterface. Bean already defined with the same name!"}
[2024-03-13 21:22:10]|||{"logger":"o.m.s.mapper.ClassPathMapperScanner", "thread":"restartedMain", "msg":"Skipping MapperFactoryBean with name 'menuMapper' and 'com.coding.blog.service.mapper.MenuMapper' mapperInterface. Bean already defined with the same name!"}
[2024-03-13 21:22:10]|||{"logger":"o.m.s.mapper.ClassPathMapperScanner", "thread":"restartedMain", "msg":"Skipping MapperFactoryBean with name 'pictureMapper' and 'com.coding.blog.service.mapper.PictureMapper' mapperInterface. Bean already defined with the same name!"}
[2024-03-13 21:22:10]|||{"logger":"o.m.s.mapper.ClassPathMapperScanner", "thread":"restartedMain", "msg":"Skipping MapperFactoryBean with name 'postTagMapper' and 'com.coding.blog.service.mapper.PostTagMapper' mapperInterface. Bean already defined with the same name!"}
